21:57:28.040 -> Timestamp: 437242 ms, Data = 60 bytes, # = 2183
21:57:28.040 -> Timestamp: 437247 ms, Data = 60 bytes, # = 2184
21:57:28.040 -> Timestamp: 437250 ms, Data = 60 bytes, # = 2185
21:57:28.086 -> Timestamp: 437255 ms, Data = 60 bytes, # = 2186
21:57:28.086 -> Timestamp: 437257 ms, Data = 60 bytes, # = 2187
21:57:28.086 -> Timestamp: 437262 ms, Data = 60 bytes, # = 2188
21:57:28.086 -> Timestamp: 437265 ms, Data = 60 bytes, # = 2189
21:57:28.086 -> Timestamp: 437270 ms, Data = 60 bytes, # = 2190
21:57:28.086 -> Timestamp: 437272 ms, Data = 60 bytes, # = 2191
21:57:28.086 -> Timestamp: 437278 ms, Data = 60 bytes, # = 2192
21:57:28.086 -> Timestamp: 437280 ms, Data = 60 bytes, # = 2193
21:57:28.086 -> Timestamp: 437285 ms, Data = 60 bytes, # = 2194
21:57:28.086 -> Timestamp: 437287 ms, Data = 60 bytes, # = 2195
21:57:28.086 -> Timestamp: 437292 ms, Data = 60 bytes, # = 2196
21:57:28.086 -> Timestamp: 437295 ms, Data = 60 bytes, # = 2197
21:57:28.133 -> Timestamp: 437300 ms, Data = 60 bytes, # = 2198
21:57:28.133 -> Timestamp: 437302 ms, Data = 60 bytes, # = 2199
21:57:28.133 -> Timestamp: 437307 ms, Data = 60 bytes, # = 2200
21:57:28.133 -> Timestamp: 437310 ms, Data = 60 bytes, # = 2201
21:57:28.133 -> Timestamp: 437315 ms, Data = 60 bytes, # = 2202
21:57:28.133 -> Timestamp: 437317 ms, Data = 60 bytes, # = 2203
21:57:28.133 -> Timestamp: 437322 ms, Data = 60 bytes, # = 2204
21:57:28.133 -> Timestamp: 437325 ms, Data = 60 bytes, # = 2205
21:57:28.133 -> Timestamp: 437330 ms, Data = 60 bytes, # = 2206
21:57:28.133 -> Timestamp: 437332 ms, Data = 60 bytes, # = 2207
21:57:28.133 -> Timestamp: 437337 ms, Data = 60 bytes, # = 2208
21:57:28.133 -> Timestamp: 437340 ms, Data = 60 bytes, # = 2209
21:57:28.133 -> Timestamp: 437345 ms, Data = 60 bytes, # = 2210
21:57:28.182 -> Timestamp: 437347 ms, Data = 60 bytes, # = 2211
21:57:28.182 -> Timestamp: 437352 ms, Data = 60 bytes, # = 2212
21:57:28.182 -> Timestamp: 437355 ms, Data = 60 bytes, # = 2213
21:57:28.182 -> Timestamp: 437360 ms, Data = 60 bytes, # = 2214
21:57:28.182 -> Timestamp: 437362 ms, Data = 60 bytes, # = 2215
21:57:28.182 -> Timestamp: 437367 ms, Data = 60 bytes, # = 2216
21:57:28.182 -> Timestamp: 437370 ms, Data = 60 bytes, # = 2217
21:57:28.182 -> Timestamp: 437375 ms, Data = 60 bytes, # = 2218
21:57:28.182 -> Timestamp: 437377 ms, Data = 60 bytes, # = 2219
21:57:28.182 -> Timestamp: 437383 ms, Data = 60 bytes, # = 2220
21:57:28.182 -> Timestamp: 437385 ms, Data = 60 bytes, # = 2221
21:57:28.182 -> Timestamp: 437390 ms, Data = 60 bytes, # = 2222
21:57:28.182 -> Timestamp: 437392 ms, Data = 60 bytes, # = 2223
21:57:28.227 -> Timestamp: 437397 ms, Data = 60 bytes, # = 2224
21:57:28.227 -> Timestamp: 437400 ms, Data = 60 bytes, # = 2225
21:57:28.227 -> Timestamp: 437404 ms, Data = 60 bytes, # = 2226
21:57:28.227 -> Timestamp: 437407 ms, Data = 60 bytes, # = 2227
21:57:28.227 -> Timestamp: 437411 ms, Data = 60 bytes, # = 2228
21:57:28.227 -> Timestamp: 437414 ms, Data = 60 bytes, # = 2229
21:57:28.227 -> Timestamp: 437418 ms, Data = 60 bytes, # = 2230
21:57:28.227 -> Timestamp: 437421 ms, Data = 60 bytes, # = 2231
21:57:28.227 -> Timestamp: 437425 ms, Data = 60 bytes, # = 2232
21:57:28.227 -> Timestamp: 437428 ms, Data = 60 bytes, # = 2233
21:57:28.227 -> Timestamp: 437432 ms, Data = 60 bytes, # = 2234
21:57:28.227 -> Timestamp: 437435 ms, Data = 60 bytes, # = 2235
21:57:28.227 -> Timestamp: 437438 ms, Data = 60 bytes, # = 2236
21:57:28.273 -> Timestamp: 437443 ms, Data = 60 bytes, # = 2237
21:57:28.273 -> Timestamp: 437445 ms, Data = 60 bytes, # = 2238
21:57:28.273 -> Timestamp: 437449 ms, Data = 60 bytes, # = 2239
21:57:28.273 -> Timestamp: 437452 ms, Data = 60 bytes, # = 2240
21:57:28.273 -> Timestamp: 437456 ms, Data = 60 bytes, # = 2241
21:57:28.273 -> Timestamp: 437459 ms, Data = 60 bytes, # = 2242
21:57:28.273 -> Timestamp: 437464 ms, Data = 60 bytes, # = 2243
21:57:28.273 -> Timestamp: 437467 ms, Data = 60 bytes, # = 2244
21:57:28.273 -> Timestamp: 437470 ms, Data = 60 bytes, # = 2245
21:57:28.273 -> Timestamp: 437474 ms, Data = 60 bytes, # = 2246
21:57:28.273 -> Timestamp: 437478 ms, Data = 60 bytes, # = 2247
21:57:28.273 -> Timestamp: 437481 ms, Data = 60 bytes, # = 2248
21:57:28.273 -> Timestamp: 437485 ms, Data = 60 bytes, # = 2249
21:57:28.319 -> Timestamp: 437488 ms, Data = 60 bytes, # = 2250
21:57:28.319 -> Timestamp: 437492 ms, Data = 60 bytes, # = 2251
21:57:28.319 -> Timestamp: 437496 ms, Data = 60 bytes, # = 2252
21:57:28.319 -> Timestamp: 437498 ms, Data = 60 bytes, # = 2253
21:57:28.319 -> Timestamp: 437503 ms, Data = 60 bytes, # = 2254
21:57:28.319 -> Timestamp: 437505 ms, Data = 60 bytes, # = 2255
21:57:28.319 -> Timestamp: 437510 ms, Data = 60 bytes, # = 2256
21:57:28.319 -> Timestamp: 437513 ms, Data = 60 bytes, # = 2257
21:57:28.319 -> Timestamp: 437517 ms, Data = 60 bytes, # = 2258
21:57:28.319 -> Timestamp: 437520 ms, Data = 60 bytes, # = 2259
21:57:28.319 -> Timestamp: 437524 ms, Data = 60 bytes, # = 2260
21:57:28.319 -> Timestamp: 437527 ms, Data = 60 bytes, # = 2261
21:57:28.319 -> Timestamp: 437531 ms, Data = 60 bytes, # = 2262
21:57:28.366 -> Timestamp: 437534 ms, Data = 60 bytes, # = 2263
21:57:28.366 -> Timestamp: 437537 ms, Data = 60 bytes, # = 2264
21:57:28.366 -> Timestamp: 437540 ms, Data = 60 bytes, # = 2265
21:57:28.366 -> Timestamp: 437542 ms, Data = 60 bytes, # = 2266
21:57:28.366 -> Timestamp: 437545 ms, Data = 60 bytes, # = 2267
21:57:28.366 -> Timestamp: 437547 ms, Data = 60 bytes, # = 2268
21:57:28.366 -> Timestamp: 437550 ms, Data = 60 bytes, # = 2269
21:57:28.366 -> Timestamp: 437552 ms, Data = 60 bytes, # = 2270
21:57:28.366 -> Timestamp: 437555 ms, Data = 60 bytes, # = 2271
21:57:28.366 -> Timestamp: 437557 ms, Data = 60 bytes, # = 2272
21:57:28.366 -> Timestamp: 437560 ms, Data = 60 bytes, # = 2273
21:57:28.366 -> Timestamp: 437563 ms, Data = 60 bytes, # = 2274
21:57:28.366 -> Timestamp: 437565 ms, Data = 60 bytes, # = 2275
21:57:28.366 -> Timestamp: 437568 ms, Data = 60 bytes, # = 2276
21:57:28.366 -> Timestamp: 437570 ms, Data = 60 bytes, # = 2277
21:57:28.366 -> Timestamp: 437573 ms, Data = 60 bytes, # = 2278
21:57:28.366 -> Timestamp: 437576 ms, Data = 60 bytes, # = 2279
21:57:28.366 -> Timestamp: 437578 ms, Data = 60 bytes, # = 2280
21:57:28.413 -> Timestamp: 437581 ms, Data = 60 bytes, # = 2281
21:57:28.413 -> Timestamp: 437583 ms, Data = 60 bytes, # = 2282
21:57:28.413 -> Timestamp: 437586 ms, Data = 60 bytes, # = 2283
21:57:28.413 -> Timestamp: 437588 ms, Data = 60 bytes, # = 2284
21:57:28.413 -> Timestamp: 437591 ms, Data = 60 bytes, # = 2285
21:57:28.413 -> Timestamp: 437593 ms, Data = 60 bytes, # = 2286
21:57:28.413 -> Timestamp: 437596 ms, Data = 60 bytes, # = 2287
21:57:28.413 -> Timestamp: 437599 ms, Data = 60 bytes, # = 2288
21:57:28.413 -> Timestamp: 437601 ms, Data = 60 bytes, # = 2289
21:57:28.413 -> Timestamp: 437604 ms, Data = 60 bytes, # = 2290
21:57:28.413 -> Timestamp: 437606 ms, Data = 60 bytes, # = 2291
21:57:28.413 -> Timestamp: 437609 ms, Data = 60 bytes, # = 2292
21:57:28.413 -> Timestamp: 437612 ms, Data = 60 bytes, # = 2293
21:57:28.413 -> Timestamp: 437614 ms, Data = 60 bytes, # = 2294
21:57:28.413 -> Timestamp: 437617 ms, Data = 60 bytes, # = 2295
21:57:28.413 -> Timestamp: 437619 ms, Data = 60 bytes, # = 2296
21:57:28.413 -> Timestamp: 437622 ms, Data = 60 bytes, # = 2297
21:57:28.413 -> Timestamp: 437624 ms, Data = 60 bytes, # = 2298
21:57:28.460 -> Timestamp: 437627 ms, Data = 60 bytes, # = 2299
21:57:28.460 -> Timestamp: 437629 ms, Data = 60 bytes, # = 2300
21:57:28.460 -> Timestamp: 437631 ms, Data = 60 bytes, # = 2301
21:57:28.460 -> Timestamp: 437633 ms, Data = 60 bytes, # = 2302
21:57:28.460 -> Timestamp: 437635 ms, Data = 60 bytes, # = 2303
21:57:28.460 -> Timestamp: 437637 ms, Data = 60 bytes, # = 2304
21:57:28.460 -> Timestamp: 437639 ms, Data = 60 bytes, # = 2305
21:57:28.460 -> Timestamp: 437641 ms, Data = 60 bytes, # = 2306
21:57:28.460 -> Timestamp: 437643 ms, Data = 60 bytes, # = 2307
21:57:28.460 -> Timestamp: 437645 ms, Data = 60 bytes, # = 2308
21:57:28.460 -> Timestamp: 437647 ms, Data = 60 bytes, # = 2309
21:57:28.460 -> Timestamp: 437650 ms, Data = 60 bytes, # = 2310
21:57:28.460 -> Timestamp: 437652 ms, Data = 60 bytes, # = 2311
21:57:28.460 -> Timestamp: 437654 ms, Data = 60 bytes, # = 2312
21:57:28.460 -> Timestamp: 437656 ms, Data = 60 bytes, # = 2313
21:57:28.460 -> Timestamp: 437658 ms, Data = 60 bytes, # = 2314
21:57:28.460 -> Timestamp: 437660 ms, Data = 60 bytes, # = 2315
21:57:28.460 -> Timestamp: 437662 ms, Data = 60 bytes, # = 2316
21:57:28.460 -> Timestamp: 437664 ms, Data = 60 bytes, # = 2317
21:57:28.460 -> Timestamp: 437666 ms, Data = 60 bytes, # = 2318
21:57:28.460 -> Timestamp: 437668 ms, Data = 60 bytes, # = 2319
21:57:28.460 -> Timestamp: 437671 ms, Data = 60 bytes, # = 2320
21:57:28.460 -> Timestamp: 437673 ms, Data = 60 bytes, # = 2321
21:57:28.507 -> Timestamp: 437675 ms, Data = 60 bytes, # = 2322
21:57:28.507 -> Timestamp: 437677 ms, Data = 60 bytes, # = 2323
21:57:28.507 -> Timestamp: 437679 ms, Data = 60 bytes, # = 2324
21:57:28.507 -> Timestamp: 437682 ms, Data = 60 bytes, # = 2325
21:57:28.507 -> Timestamp: 437684 ms, Data = 60 bytes, # = 2326
21:57:28.507 -> Timestamp: 437686 ms, Data = 60 bytes, # = 2327
21:57:28.507 -> Timestamp: 437688 ms, Data = 60 bytes, # = 2328
21:57:28.507 -> Timestamp: 437690 ms, Data = 60 bytes, # = 2329
21:57:28.507 -> Timestamp: 437692 ms, Data = 60 bytes, # = 2330
21:57:28.507 -> Timestamp: 437694 ms, Data = 60 bytes, # = 2331
21:57:28.507 -> Timestamp: 437696 ms, Data = 60 bytes, # = 2332
21:57:28.507 -> Timestamp: 437698 ms, Data = 60 bytes, # = 2333
21:57:28.507 -> Timestamp: 437700 ms, Data = 60 bytes, # = 2334
21:57:28.507 -> Timestamp: 437703 ms, Data = 60 bytes, # = 2335
21:57:28.507 -> Timestamp: 437705 ms, Data = 60 bytes, # = 2336
21:57:28.507 -> Timestamp: 437707 ms, Data = 60 bytes, # = 2337
